,#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
0,543,Vellore,8,GEN,Tamil Nadu,Kathir Anand,Dravida Munetra Kazhagam,1438643.0,1028100.0,71.46,8141.0,0.79
1,542,Karimganj,1,SC,Assam,Kripanath Mallah,Bharatiya Janta Party,1165997.0,1061160.0,79.18,38389.0,3.62
2,1,Adilabad,1,ST,Telangana,Soyam Bapu Rao,Bharatiya Janta Party,1382837.0,1063730.0,77.9,58560.0,5.5
3,2,Agra,18,SC,Uttar Pradesh,Satyapal Singh Baghel,Bharatiya Janta Party,1866262.0,1145323.0,61.7,211546.0,18.5
4,3,Ahmadnagar,37,GEN,Maharashtra,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janta Party,1793677.0,1203797.0,67.3,281474.0,23.4
5,4,Ahmedabad East,7,GEN,Gujarat,Patel Hasmukhbhai Somabhai,Bharatiya Janta Party,1713598.0,1116367.0,65.7,434330.0,38.9
6,5,Ahmedabad West,8,SC,Gujarat,Dr. Kirit P. Solanki,Bharatiya Janta Party,1580673.0,997024.0,64.0,321546.0,32.3
7,6,Ajmer,13,GEN,Rajasthan,Bhagirath Chaudhary,Bharatiya Janta Party,1844532.0,1262214.0,69.0,416424.0,33.0
8,7,Akbarpur,44,GEN,Uttar Pradesh,Devendra Singh 'bhole',Bharatiya Janta Party,1714490.0,1025314.0,60.3,275142.0,26.8
9,8,Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1757645.0,1119440.0,64.2,275596.0,24.6
10,9,Alappuzha,15,GEN,Kerala,Adv. A M Ariff,Communist Party Of India (Marxist),1298061.0,1088728.0,84.3,10474.0,1.0
11,10,Alathur,9,SC,Kerala,Ramya Haridas,Indian National Congress,1219063.0,1018743.0,84.2,158968.0,15.6
12,11,Aligarh,15,GEN,Uttar Pradesh,Satish Kumar Gautam,Bharatiya Janta Party,1847005.0,1163184.0,63.3,229261.0,19.7
13,12,Alipurduars,2,ST,West Bengal,John Barla,Bharatiya Janta Party,1527563.0,1380217.0,91.7,243989.0,17.7
14,13,Allahabad,52,GEN,Uttar Pradesh,Rita Bahuguna Joshi,Bharatiya Janta Party,1679883.0,889056.0,53.4,184275.0,20.7
15,14,Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1287611.0,694472.0,55.1,232986.0,33.5
16,15,Alwar,8,GEN,Rajasthan,Balak Nath,Bharatiya Janta Party,2059180.0,1265674.0,61.7,329971.0,26.1
17,16,Amalapuram,7,,Andhra Pradesh,Chinta Anuradha,Yuvajana Sramika Rythu Congress Party,1156280.0,1232895.0,108.1,39795.0,3.2
18,17,Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,1757524.0,1316235.0,75.3,342345.0,26.0
19,18,Ambedkar Nagar,55,GEN,Uttar Pradesh,Ritesh Pandey,Bahujan Samaj Party,1744287.0,1090152.0,63.2,95880.0,8.8
20,19,Amethi,37,GEN,Uttar Pradesh,Smriti Irani,Bharatiya Janta Party,1703510.0,942453.0,55.6,55120.0,5.8
21,20,Amravati,7,SC,Maharashtra,Navnit Ravi Rana,Independent,1752097.0,1112385.0,63.8,36951.0,3.3
22,21,Amreli,14,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1602346.0,909167.0,57.8,201431.0,22.2
23,22,Amritsar,2,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,1468972.0,859513.0,59.1,99626.0,11.6
24,23,Amroha,9,GEN,Uttar Pradesh,Kunwar Danish Ali,Bahujan Samaj Party,1596897.0,1169182.0,73.6,63248.0,5.4
25,24,Anakapalli,5,,Andhra Pradesh,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,1397335.0,1238491.0,91.1,89192.0,7.2
26,25,Anand,16,GEN,Gujarat,Patel Mitesh Rameshbhai (BAKABHAI),Bharatiya Janta Party,1614307.0,1108661.0,69.8,197718.0,17.8
27,26,Anandpur Sahib,6,GEN,Punjab,Manish Tewari,Indian National Congress,1648822.0,1081727.0,66.7,46884.0,4.3
28,27,Anantapur,19,,Andhra Pradesh,Talari Rangaiah,Yuvajana Sramika Rythu Congress Party,1489758.0,1342306.0,91.2,141428.0,10.5
29,28,Anantnag,3,,Jammu & Kashmir,Hasnain Masoodi,Jammu & Kashmir National Conference,1301023.0,124896.0,9.7,6676.0,5.3
30,29,Andaman And Nicobar Islands,1,GEN,Andaman & Nicobar,Kuldeep Rai Sharma,Indian National Congress,269360.0,207296.0,77.5,1407.0,0.7
31,30,Aonla,24,GEN,Uttar Pradesh,Dharmendra Kashyap,Bharatiya Janta Party,1750190.0,1052795.0,60.7,113743.0,10.8
32,31,Arakkonam,7,GEN,Tamil Nadu,S. Jagathrakshakan,Dravida Munetra Kazhagam,1461110.0,1178060.0,81.5,328956.0,27.9
33,32,Arambagh,29,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,1631133.0,1471981.0,91.5,1142.0,0.1
34,33,Arani,12,GEN,Tamil Nadu,Vishnu Prasad M K,Indian National Congress,1407725.0,1143907.0,82.5,230806.0,20.2
35,34,Araria,9,GEN,Bihar,Pradeep Kumar Singh,Bharatiya Janta Party,1469717.0,1169630.0,81.0,137241.0,11.7
36,35,Arrah,32,GEN,Bihar,R. K. Singh,Bharatiya Janta Party,2055316.0,1080684.0,53.6,147285.0,13.6
37,36,Aruku,1,,Andhra Pradesh,Goddeti. Madhavi,Yuvajana Sramika Rythu Congress Party,1358657.0,1074538.0,82.6,224089.0,20.9
38,37,Arunachal East,2,GENP,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,335682.0,293781.0,89.2,69948.0,23.8
39,38,Arunachal West,1,GENP,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,458680.0,358310.0,78.5,174843.0,48.8
40,39,Asansol,40,GEN,West Bengal,Babul Supriyo,Bharatiya Janta Party,1770467.0,1238135.0,70.8,197637.0,16.0
41,40,Aska,19,GEN,Orissa,Pramila Bisoyi,Biju Janata Dal,1494153.0,1013862.0,69.0,204707.0,20.2
42,41,Attingal,19,GEN,Kerala,Adv. Adoor Prakash,Indian National Congress,1313675.0,1004888.0,76.9,38247.0,3.8
43,42,Aurangabad,19,GEN,Maharashtra,Imtiaz Jaleel Syed,All India Majlis-E-Ittehadul Muslimeen,1762823.0,1198221.0,68.3,4492.0,0.4
44,43,Aurangabad,37,GEN,Bihar,Sushil Kumar Singh,Bharatiya Janta Party,1737821.0,941595.0,55.5,72607.0,7.7
45,44,Autonomous District,3,ST,Assam,Horen Sing Bey,Bharatiya Janta Party,761744.0,617735.0,82.2,239626.0,38.8
46,45,Azamgarh,69,GEN,Uttar Pradesh,Akhilesh Yadav,Samajwadi Party,1773820.0,1029112.0,58.4,259874.0,25.3
47,46,Badaun,23,GEN,Uttar Pradesh,Dr. Sanghmitra Maurya,Bharatiya Janta Party,2199914.0,1081108.0,49.5,18454.0,1.7
48,47,Bagalkot,3,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1688394.0,1204613.0,72.0,168187.0,14.0
49,48,Baghpat,11,GEN,Uttar Pradesh,Dr. Satyapal Singh,Bharatiya Janta Party,1558020.0,1044894.0,67.4,23502.0,2.2
50,49,Baharampur,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1746812.0,1299997.0,75.2,80696.0,6.2
51,50,Bahraich,56,SC,Uttar Pradesh,Akshaibar Lal,Bharatiya Janta Party,1686646.0,989848.0,59.5,128752.0,13.0
52,51,Balaghat,15,GEN,Madhya Pradesh,Dr Dhal Singh Bisen,Bharatiya Janta Party,1725505.0,1372018.0,79.8,242066.0,17.6
53,52,Balasore,6,GEN,Orissa,Pratap Chandra Sarangi,Bharatiya Janta Party,1471650.0,1157871.0,79.2,12956.0,1.1
54,53,Ballia,72,GEN,Uttar Pradesh,Virendra Singh,Bharatiya Janta Party,1792821.0,989732.0,55.7,15519.0,1.6
55,54,Balurghat,6,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,1543162.0,1197849.0,78.5,33293.0,2.8
56,55,Banaskantha,2,GEN,Gujarat,Parbatbhai Savabhai Patel,Bharatiya Janta Party,1512076.0,1102081.0,73.7,368296.0,33.4
57,56,Banda,48,GEN,Uttar Pradesh,R.K. Singh Patel,Bharatiya Janta Party,1659357.0,1034549.0,63.5,58938.0,5.7
58,57,Bangalore Cent,25,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,2165307.0,1197234.0,55.8,70968.0,5.9
59,58,Bangalore Nort,24,GEN,Karnataka,D.V. Sadananda Gowda,Bharatiya Janta Party,2819424.0,1559459.0,55.7,147518.0,9.5
60,59,Bangalore Rura,23,GEN,Karnataka,D.K. Suresh,Indian National Congress,1601076.0,1621906.0,102.1,206870.0,12.8
61,60,Bangalore Sout,26,GEN,Karnataka,Tejasvi Surya,Bharatiya Janta Party,2175375.0,1188491.0,55.1,331192.0,27.9
62,61,Bangaon,14,SC,West Bengal,Shantanu Thakur,Bharatiya Janta Party,1618541.0,1407758.0,87.4,111594.0,7.9
63,62,Banka,27,GEN,Bihar,Giridhari Yadav,Janata Dal (United),1687940.0,995806.0,59.4,200532.0,20.1
64,63,Bankura,36,GEN,West Bengal,Dr. Subhas Sarkar,Bharatiya Janta Party,1770248.0,1371855.0,78.3,174333.0,12.7
65,64,Bansgaon,67,SC,Uttar Pradesh,Kamlesh Paswan,Bharatiya Janta Party,1748683.0,969136.0,56.2,153468.0,15.8
66,65,Banswara,20,ST,Rajasthan,Kanakmal Katara,Bharatiya Janta Party,1920325.0,1439671.0,76.5,305464.0,21.2
67,66,Bapatla,15,,Andhra Pradesh,Nandigam Suresh,Yuvajana Sramika Rythu Congress Party,1361646.0,1266492.0,94.0,16065.0,1.3
68,67,Barabanki,53,SC,Uttar Pradesh,Upendra Singh Rawat,Bharatiya Janta Party,1762832.0,1155341.0,66.0,110140.0,9.5
69,68,Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,2025795.0,1304728.0,64.8,155774.0,11.9
70,69,Baramulla,1,,Jammu & Kashmir,Mohammad Akbar Lone,Jammu & Kashmir National Conference,1190745.0,455550.0,38.9,30233.0,6.6
71,70,Barasat,17,GEN,West Bengal,Dr. Kakoli Ghoshdastidar,All India Trinamool Congress,1882204.0,1394766.0,75.1,109983.0,7.9
72,71,Bardhaman Purb,38,SC,West Bengal,Sunil Kumar Mondal,All India Trinamool Congress,1836635.0,1439286.0,79.0,89311.0,6.2
73,72,Bardoli,23,ST,Gujarat,Parbhubhai Nagarbhai Vasava,Bharatiya Janta Party,1779851.0,1348038.0,77.0,215447.0,16.0
74,73,Bareilly,25,GEN,Uttar Pradesh,Santosh Kumar Gangwar,Bharatiya Janta Party,1760865.0,1068342.0,60.9,167282.0,15.7
75,74,Bargarh,1,GEN,Orissa,Suresh Pujari,Bharatiya Janta Party,1530044.0,1247912.0,82.5,63939.0,5.1
76,75,Barmer,17,GEN,Rajasthan,Kailash Choudhary,Bharatiya Janta Party,2320339.0,1422271.0,62.1,323808.0,22.8
77,76,Barpeta,6,GEN,Assam,Abdul Khaleque,Indian National Congress,1449560.0,1458549.0,101.3,140307.0,9.6
78,77,Barrackpore,15,GEN,West Bengal,Arjun Singh,Bharatiya Janta Party,1551157.0,1104517.0,72.0,14857.0,1.3
79,78,Basirhat,18,GEN,West Bengal,Nusrat Jahan Ruhi,All India Trinamool Congress,1833511.0,1433339.0,78.7,350369.0,24.4
80,79,Bastar,10,ST,Chhattisgarh,Deepak Baij,Indian National Congress,1357443.0,912846.0,70.3,38982.0,4.3
81,80,Basti,61,GEN,Uttar Pradesh,Harish Chandra Alias Harish Dwivedi,Bharatiya Janta Party,1839900.0,1054539.0,57.9,30354.0,2.9
82,81,Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,1589895.0,1200810.0,76.4,21772.0,1.8
83,82,Beed,39,GEN,Maharashtra,Pritam Gopinathrao Munde,Bharatiya Janta Party,1621102.0,1352399.0,83.6,168368.0,12.4
84,83,Begusarai,24,GEN,Bihar,Giriraj Singh,Bharatiya Janta Party,1942769.0,1225594.0,64.1,422217.0,34.4
85,84,Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,1749746.0,1205229.0,69.1,391304.0,32.5
86,85,Bellary,9,ST,Karnataka,Y. Devendrappa,Bharatiya Janta Party,1713330.0,1221926.0,71.9,55707.0,4.6
87,86,Berhampur,20,GEN,Orissa,Chandra Sekhar Sahu,Biju Janata Dal,1433671.0,989910.0,70.1,94844.0,9.6
88,87,Betul,29,ST,Madhya Pradesh,Durga Das (D.D.) UIKEY,Bharatiya Janta Party,1702517.0,1357857.0,81.1,360241.0,26.5
89,88,Bhadohi,78,GEN,Uttar Pradesh,Ramesh Chand,Bharatiya Janta Party,1886673.0,1039390.0,55.6,43615.0,4.2
90,89,Bhadrak,7,SC,Orissa,Manjulata Mandal,Biju Janata Dal,1583464.0,1223754.0,77.7,28803.0,2.4
91,90,Bhagalpur,26,GEN,Bihar,Ajay Kumar Mandal,Janata Dal (United),1811980.0,1042518.0,59.3,277630.0,26.6
92,91,Bhandara - Gon,11,GEN,Maharashtra,Sunil Baburao Mendhe,Bharatiya Janta Party,1756518.0,1244931.0,71.5,197394.0,15.9
93,92,Bharatpur,9,SC,Rajasthan,Ranjeeta Koli,Bharatiya Janta Party,1897465.0,1146797.0,60.7,318399.0,27.8
94,93,Bharuch,22,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,1522113.0,1149725.0,76.0,334214.0,29.1
95,94,Bhavnagar,15,GEN,Gujarat,Dr.Bharatiben Dhirubhai Shiyal,Bharatiya Janta Party,1734124.0,1041279.0,61.0,329519.0,31.6
96,95,Bhilwara,23,GEN,Rajasthan,Subhash Chandra Baheria,Bharatiya Janta Party,1958631.0,1310513.0,67.8,612000.0,46.7
97,96,Bhind,2,SC,Madhya Pradesh,Sandhya Ray,Bharatiya Janta Party,1711977.0,960687.0,56.4,199885.0,20.8
98,97,Bhiwandi,23,GEN,Maharashtra,Kapil Moreshwar Patil,Bharatiya Janta Party,1785952.0,1005172.0,57.2,156329.0,15.6
99,98,Bhiwani-Mahend,8,GEN,Haryana,Dharambir Singh S/o Bhale Ram,Bharatiya Janta Party,1566494.0,1161115.0,74.3,444463.0,38.3
100,99,Bhongir,14,GEN,Telangana,Komati Reddy Venkat Reddy,Indian National Congress,1544683.0,1212631.0,79.3,5219.0,0.4
101,100,Bhopal,19,GEN,Madhya Pradesh,Sadhvi Pragya Singh Thakur,Bharatiya Janta Party,2075376.0,1407954.0,68.1,364822.0,25.9
102,101,Bhubaneswar,18,GEN,Orissa,Aparajita Sarangi,Bharatiya Janta Party,1600900.0,1005215.0,63.2,23839.0,2.4
103,102,Bidar,7,GEN,Karnataka,Bhagwanth Khuba,Bharatiya Janta Party,1740232.0,1117167.0,64.3,116834.0,10.5
104,103,Bijapur,4,SC,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,1777109.0,1111354.0,63.2,258038.0,23.2
105,104,Bijnor,4,GEN,Uttar Pradesh,Malook Nagar,Bahujan Samaj Party,1619514.0,1100763.0,68.2,69941.0,6.4
106,105,Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,1793022.0,1099598.0,62.1,264081.0,24.0
107,106,Bilaspur,5,GEN,Chhattisgarh,Arun Sao,Bharatiya Janta Party,1811606.0,1209434.0,67.0,141763.0,11.7
108,107,Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1587802.0,1449423.0,92.1,88924.0,6.1
109,108,Bishnupur,37,SC,West Bengal,Khan Saumitra,Bharatiya Janta Party,1740964.0,1420648.0,82.4,78047.0,5.5
110,109,Bolangir,10,GEN,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,1677774.0,1306705.0,78.8,19516.0,1.5
111,110,Bolpur,41,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,1864137.0,1461269.0,79.1,106402.0,7.3
112,111,Bulandshahr,14,SC,Uttar Pradesh,Bhola Singh,Bharatiya Janta Party,1759305.0,1123629.0,64.2,290057.0,25.8
113,112,Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,1977994.0,1120359.0,57.0,133287.0,11.9
114,113,Burdwan - Durg,39,GEN,West Bengal,S.S Ahluwalia,Bharatiya Janta Party,1905750.0,1433007.0,76.2,2439.0,0.2
115,114,Buxar,33,GEN,Bihar,Ashwini Kumar Choubey,Bharatiya Janta Party,1806004.0,986861.0,55.6,117609.0,11.9
116,115,Chalakudy,11,GEN,Kerala,Benny Behanan,Indian National Congress,1163476.0,990224.0,85.8,132274.0,13.4
117,116,Chamarajanagar,22,SC,Karnataka,V. Srinivas Prasad,Bharatiya Janta Party,1669209.0,1270658.0,76.9,1817.0,0.1
118,117,Chandauli,76,GEN,Uttar Pradesh,Dr. Mahendra Nath Pandey,Bharatiya Janta Party,1696059.0,1084961.0,64.6,13959.0,1.3
119,118,Chandigarh,1,GEN,Chandigarh,Kirron Kher,Bharatiya Janta Party,615214.0,456568.0,74.9,46970.0,10.3
120,119,Chandni Chowk,1,GEN,Delhi,"Patni, Nitai Chand",Bharatiya Janta Party,1447228.0,980390.0,68.1,228145.0,23.3
121,120,Chandrapur,13,GEN,Maharashtra,Balubhau Alias Suresh Narayan Dhanorkar,Indian National Congress,1846431.0,1238474.0,67.7,44763.0,3.6
122,121,Chatra,4,GEN,Jharkhand,Sunil Kumar Singh,Bharatiya Janta Party,1375612.0,925937.0,67.9,377871.0,40.8
123,122,Chelvella,10,GEN,Telangana,Dr. G. Ranjith Reddy,Telangana Rashtra Samithi,2302163.0,1300194.0,56.9,14317.0,1.1
124,123,Chennai Centra,4,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,1316388.0,785450.0,60.7,301520.0,38.4
125,124,Chennai North,2,GEN,Tamil Nadu,Dr. Kalanidhi Veeraswamy,Dravida Munetra Kazhagam,1444753.0,955545.0,67.2,461518.0,48.3
126,125,Chennai South,3,GEN,Tamil Nadu,T.Sumathy (A) THAMIZHACHI THANGAPANDIAN,Dravida Munetra Kazhagam,1916378.0,1125857.0,59.6,262223.0,23.3
127,126,Chhindwara,16,GEN,Madhya Pradesh,Nakul Kamal Nath,Indian National Congress,1480503.0,1248031.0,85.7,37536.0,3.0
128,127,Chhota Udaipur,21,ST,Gujarat,Rathva Gitaben Vajesingbhai,Bharatiya Janta Party,1433397.0,1232459.0,88.3,377943.0,30.7
129,128,Chidambaram,27,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,1459769.0,1153192.0,80.1,3219.0,0.3
130,129,Chikkballapur,27,GEN,Karnataka,B.N.Bache Gowda,Bharatiya Janta Party,1804143.0,1386963.0,77.3,182110.0,13.1
131,130,Chikkodi,1,GEN,Karnataka,Annasaheb Shankar Jolle,Bharatiya Janta Party,1574203.0,1217549.0,78.0,118877.0,9.8
132,131,Chitradurga,18,SC,Karnataka,A Narayanaswamy,Bharatiya Janta Party,1736643.0,1245950.0,72.0,80178.0,6.4
133,132,Chittoor,25,,Andhra Pradesh,N. Reddeppa,Yuvajana Sramika Rythu Congress Party,1430405.0,1319472.0,93.7,137271.0,10.4
134,133,Chittorgarh,21,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,1982095.0,1458760.0,74.5,576247.0,39.5
135,134,Churu,3,GEN,Rajasthan,Rahul Kaswan,Bharatiya Janta Party,1962475.0,1328422.0,68.2,334402.0,25.2
136,135,Coimbatore,20,GEN,Tamil Nadu,Natarajan. P.R,Communist Party Of India (Marxist),1909712.0,1250885.0,66.7,179143.0,14.3
137,136,Cooch Behar,1,SC,West Bengal,Nisith Pramanik,Bharatiya Janta Party,1687773.0,1524683.0,91.2,54231.0,3.6
138,137,Cuddalore,26,GEN,Tamil Nadu,T. R. V .S. Ramesh,Dravida Munetra Kazhagam,1342320.0,1043202.0,78.4,143983.0,13.8
139,138,Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,1460895.0,1059490.0,73.0,121201.0,11.4
140,139,Dadra And Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Independent,196617.0,198983.0,102.7,9001.0,4.5
141,140,Dahod,19,ST,Gujarat,Jashvantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,1542941.0,1063212.0,71.0,127596.0,12.0
142,141,Dakshina Kanna,17,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,1698859.0,1345039.0,79.6,274621.0,20.4
143,142,Daman And Diu,1,GEN,Daman & Diu,Lalubhai Babubhai Patel,Bharatiya Janta Party,111827.0,87469.0,79.6,9942.0,11.4
144,143,Damoh,7,GEN,Madhya Pradesh,Prahalad Singh Patel,Bharatiya Janta Party,1737702.0,1164226.0,67.4,353411.0,30.4
145,144,Darbhanga,14,GEN,Bihar,Gopal Jee Thakur,Bharatiya Janta Party,1644671.0,964996.0,59.9,267979.0,27.8
146,145,Darjeeling,4,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,1519531.0,1267270.0,84.1,413443.0,32.6
147,146,Dausa,11,ST,Rajasthan,Jaskaur Meena,Bharatiya Janta Party,1692217.0,1062834.0,63.2,78444.0,7.4
148,147,Davanagere,13,GEN,Karnataka,G M Siddeshwar,Bharatiya Janta Party,1613781.0,1194586.0,74.2,169702.0,14.2
149,148,Deoria,66,GEN,Uttar Pradesh,Ramapati Ram Tripathi,Bharatiya Janta Party,1751752.0,1015363.0,58.7,249931.0,24.6
150,149,Dewas,21,SC,Madhya Pradesh,Mahendra Singh Solanky,Bharatiya Janta Party,1718488.0,1398946.0,81.9,372249.0,26.6
151,150,Dhanbad,7,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,2050314.0,1252817.0,61.3,486194.0,38.8
152,151,Dhar,25,ST,Madhya Pradesh,Chattarsingh Darbar,Bharatiya Janta Party,1752846.0,1344132.0,77.7,156029.0,11.6
153,152,Dharmapuri,10,GEN,Tamil Nadu,Dnv Senthilkumar. S.,Dravida Munetra Kazhagam,1453257.0,1223205.0,85.1,70753.0,5.8
154,153,Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1687290.0,1213505.0,72.1,205072.0,16.9
155,154,Dhaurahra,29,GEN,Uttar Pradesh,Rekha Verma,Bharatiya Janta Party,1604211.0,1063840.0,67.0,160611.0,15.1
156,155,Dhenkanal,9,GEN,Orissa,Mahesh Sahoo,Biju Janata Dal,1461182.0,1131522.0,78.2,35412.0,3.1
157,156,Dhubri,4,GEN,Assam,Badruddin Ajmal,All India United Democratic Front,1799561.0,1685005.0,94.1,226258.0,13.4
158,157,Dhule,2,GEN,Maharashtra,Bhamre Subhash Ramrao,Bharatiya Janta Party,1787801.0,1085038.0,60.8,229243.0,21.1
159,158,Diamond Harbou,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,1873955.0,1409002.0,76.1,320594.0,22.8
160,159,Dibrugarh,13,GEN,Assam,Rameswar Teli,Bharatiya Janta Party,1265748.0,1015748.0,81.9,364566.0,35.9
161,160,Dindigul,22,GEN,Tamil Nadu,"Velusamy, P.",Dravida Munetra Kazhagam,1518633.0,1160046.0,77.3,538972.0,46.5
162,161,Dindori,20,ST,Maharashtra,Dr. Bharati Pravin Pawar,Bharatiya Janta Party,1651955.0,1137631.0,69.4,198779.0,17.5
163,162,Domariyaganj,60,GEN,Uttar Pradesh,Jagdambika Pal,Bharatiya Janta Party,1894047.0,985269.0,52.6,105321.0,10.7
164,163,Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,1699710.0,1204660.0,71.7,53002.0,4.4
165,164,Dumka,2,ST,Jharkhand,Sunil Soren,Bharatiya Janta Party,1349843.0,1025968.0,77.1,47590.0,4.6
166,165,Durg,7,GEN,Chhattisgarh,Vijay Baghel,Bharatiya Janta Party,1878677.0,1391996.0,74.3,391978.0,28.2
167,166,East Delhi,3,GEN,Delhi,Jadunandan Prasad,Bharatiya Janta Party,1829578.0,1257821.0,69.0,391222.0,31.1
168,167,Eluru,10,,Andhra Pradesh,Kotagiri Sridhar,Yuvajana Sramika Rythu Congress Party,1418277.0,1327923.0,95.3,165925.0,12.5
169,168,Ernakulam,12,GEN,Kerala,Hibi Eden,Indian National Congress,1190575.0,967203.0,81.7,169153.0,17.5
170,169,Erode,17,GEN,Tamil Nadu,Ganeshamurthi A,Dravida Munetra Kazhagam,1427534.0,1067863.0,75.8,210618.0,19.7
171,170,Etah,22,GEN,Uttar Pradesh,Rajveer Singh (Raju Bhaiya),Bharatiya Janta Party,1587949.0,999607.0,63.3,122670.0,12.3
172,171,Etawah,41,SC,Uttar Pradesh,Dr Ram Shankar Katheria,Bharatiya Janta Party,1714935.0,1027815.0,60.3,64437.0,6.3
173,172,Faizabad,54,GEN,Uttar Pradesh,Lallu Singh,Bharatiya Janta Party,1783699.0,1087121.0,61.5,65477.0,6.0
174,173,Faridabad,10,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,1926323.0,1327295.0,69.2,638239.0,48.1
175,174,Faridkot,9,SC,Punjab,Mohammad Sadique,Indian National Congress,1515062.0,974947.0,65.6,83256.0,8.5
176,175,Farrukhabad,40,GEN,Uttar Pradesh,Mukesh Rajput,Bharatiya Janta Party,1661488.0,1002953.0,60.8,221702.0,22.1
177,176,Fatehgarh Sahi,8,SC,Punjab,Amar Singh,Indian National Congress,1470008.0,985948.0,68.0,93898.0,9.5
178,177,Fatehpur,49,GEN,Uttar Pradesh,Niranjan Jyoti,Bharatiya Janta Party,1783535.0,1043655.0,59.3,198205.0,19.0
179,178,Fatehpur Sikri,19,GEN,Uttar Pradesh,Rajkumar Chahar,Bharatiya Janta Party,1660405.0,1037151.0,63.1,495065.0,47.7
