,#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
361,360,Munger,28,GEN,Bihar,Rajiv Ranjan Singh Alias Lalan Singh,Janata Dal (United),1870993.0,1036268.0,55.9,167937.0,16.2
362,361,Murshidabad,11,GEN,West Bengal,Abu Taher Khan,All India Trinamool Congress,1824697.0,1453755.0,80.5,226417.0,15.6
363,362,Muzaffarnagar,3,GEN,Uttar Pradesh,Sanjeev Kumar Balyan,Bharatiya Janta Party,1647368.0,1160071.0,70.7,6526.0,0.6
364,363,Muzaffarpur,15,GEN,Bihar,Ajay Nishad,Bharatiya Janta Party,1710868.0,1058086.0,62.4,409988.0,38.7
365,364,Mysore,21,GEN,Karnataka,Prathap Simha,Bharatiya Janta Party,1873063.0,1318041.0,70.7,138647.0,10.5
366,365,Nabarangpur,12,ST,Orissa,Ramesh Chandra Majhi,Biju Janata Dal,1401704.0,1159700.0,85.9,41634.0,3.6
367,366,Nagaland,1,ST,Nagaland,Tokheho Yepthomi,Nationalist Democratic Progressive Party,1190285.0,1006357.0,84.7,16344.0,1.6
368,367,Nagapattinam,29,SC,Tamil Nadu,Selvaraj M,Communist Party Of India,1292695.0,1002208.0,78.3,211353.0,21.1
369,368,Nagarkurnool,12,SC,Telangana,Pothuganti Ramulu,Telangana Rashtra Samithi,1501178.0,989847.0,66.8,189748.0,19.2
370,369,Nagaur,14,GEN,Rajasthan,Hanuman Beniwal,Rashtriya Loktantrik Party,1741967.0,1203124.0,69.8,181260.0,15.1
371,370,Nagina,5,SC,Uttar Pradesh,Girish Chandra,Bahujan Samaj Party,1538579.0,1009456.0,66.0,166832.0,16.5
372,371,Nagpur,10,GEN,Maharashtra,Nitin Jairam Gadkari,Bharatiya Janta Party,2060047.0,1186051.0,57.8,216009.0,18.2
373,372,Nainital-Udham,4,GEN,Uttarakhand,Ajay Bhatt,Bharatiya Janta Party,1754749.0,1258570.0,72.3,339096.0,26.9
374,373,Nalanda,29,GEN,Bihar,Kaushlendra Kumar,Janata Dal (United),1809760.0,1031286.0,57.5,256137.0,24.8
375,374,Nalgonda,13,GEN,Telangana,Uttam Kumar Reddy Nalamada,Indian National Congress,1501209.0,1175703.0,78.7,25682.0,2.2
376,375,Namakkal,16,GEN,Tamil Nadu,Chinraj A.K.P,Dravida Munetra Kazhagam,1383282.0,1133774.0,83.1,265151.0,23.4
377,376,Nanded,16,GEN,Maharashtra,Prataprao Patil Chikhalikar,Bharatiya Janta Party,1632971.0,1129350.0,69.5,40148.0,3.6
378,377,Nandurbar,1,ST,Maharashtra,Dr. Heena Vijaykumar Gavit,Bharatiya Janta Party,1796321.0,1281738.0,72.6,95629.0,7.5
379,378,Nandyal,17,,Andhra Pradesh,Pocha . Brahmananda Reddy,Yuvajana Sramika Rythu Congress Party,1402585.0,1299093.0,93.3,250119.0,19.3
380,379,Narasaraopet,14,,Andhra Pradesh,Lavu Sri Krishna Devarayalu,Yuvajana Sramika Rythu Congress Party,1545916.0,1437420.0,93.8,154002.0,10.7
381,380,Narsapuram,9,,Andhra Pradesh,Kanumuru Raghu Rama Krishna Raju,Yuvajana Sramika Rythu Congress Party,1294966.0,1177738.0,91.9,32676.0,2.8
382,381,Nashik,21,GEN,Maharashtra,Godse Hemant Tukaram,Shiv Sena,1764151.0,1121232.0,64.0,292204.0,26.1
383,382,Navsari,25,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,1904607.0,1308018.0,69.2,689668.0,52.7
384,383,Nawada,39,GEN,Bihar,Chandan Singh,Lok Jan Shakti Party,1892017.0,942462.0,51.7,148072.0,15.7
385,384,Nellore,22,,Andhra Pradesh,Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,1460959.0,1287036.0,89.3,148571.0,11.5
386,385,New Delhi,4,GEN,Delhi,Durga Prasad Pande,Bharatiya Janta Party,1490147.0,920541.0,62.2,256504.0,27.9
387,386,Nilgiris,19,SC,Tamil Nadu,"Raja, A.",Dravida Munetra Kazhagam,1336480.0,1010719.0,77.0,205823.0,20.4
388,387,Nizamabad,4,GEN,Telangana,Arvind Dharmapuri,Bharatiya Janta Party,1445388.0,1062768.0,73.7,70875.0,6.7
389,388,North East Delhi,2,GEN,Delhi,"Goswami, Sukadev",Bharatiya Janta Party,1957707.0,1461475.0,74.9,366102.0,25.1
390,389,North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,545009.0,428628.0,79.9,80247.0,18.7
391,390,North West Delhi,5,SC,Delhi,Ram Raksha Upadhya,Bharatiya Janta Party,2194425.0,1402962.0,64.4,553897.0,39.5
392,391,Nowgong,10,GEN,Assam,Pradyut Bordoloi,Indian National Congress,1736245.0,1493475.0,86.6,16752.0,1.1
393,392,Ongole,16,,Andhra Pradesh,Magunta Sreenivasulu Reddy,Yuvajana Sramika Rythu Congress Party,1410224.0,1342368.0,96.7,214851.0,16.0
394,393,Osmanabad,40,GEN,Maharashtra,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Shiv Sena,1783129.0,1204730.0,68.1,127566.0,10.6
395,394,Outer Manipur,2,ST,Manipur,Lorho S. Pfoze,Naga Peoples Front,918966.0,858029.0,93.7,73782.0,8.6
396,395,Palakkad,8,GEN,Kerala,V K Sreekandan,Indian National Congress,1274734.0,1028249.0,81.2,11637.0,1.1
397,396,Palamau,13,SC,Jharkhand,Vishnu Dayal Ram,Bharatiya Janta Party,1800197.0,1209747.0,67.5,477606.0,39.5
398,397,Palghar,22,ST,Maharashtra,Rajendra Dhedya Gavit,Shiv Sena,1727531.0,1201941.0,71.3,88883.0,7.4
399,398,Pali,15,GEN,Rajasthan,P. P. Chaudhary,Bharatiya Janta Party,2105101.0,1359799.0,65.3,481597.0,35.4
400,399,Panchmahal,18,GEN,Gujarat,Ratansinh Magansinh Rathod,Bharatiya Janta Party,1696054.0,1083676.0,65.1,428541.0,39.5
401,400,Parbhani,17,GEN,Maharashtra,Jadhav Sanjay (BANDU) HARIBHAU,Shiv Sena,1902298.0,1252782.0,66.1,42199.0,3.4
402,401,Paschim Champaran,2,GEN,Bihar,Dr. Sanjay Jaiswal,Bharatiya Janta Party,1606271.0,1012936.0,65.9,293906.0,29.0
403,402,Pataliputra,31,GEN,Bihar,Ram Kripal Yadav,Bharatiya Janta Party,1909112.0,1077749.0,56.8,39321.0,3.6
404,403,Patan,3,GEN,Gujarat,Dabhi Bharatsinhji Shankarji,Bharatiya Janta Party,1689822.0,1126256.0,67.5,193879.0,17.2
405,404,Pathanamthitta,17,GEN,Kerala,Anto Antony,Indian National Congress,1332683.0,1026553.0,77.3,44243.0,4.3
406,405,Patiala,13,GEN,Punjab,Preneet Kaur,Indian National Congress,1691510.0,1177903.0,70.3,162718.0,13.8
407,406,Patna Sahib,30,GEN,Bihar,Ravi Shankar Prasad,Bharatiya Janta Party,2136800.0,982285.0,46.2,284657.0,29.0
408,407,Peddapalle,2,SC,Telangana,Venkatesh Netha Borlakunta,Telangana Rashtra Samithi,1368475.0,970051.0,71.5,95180.0,9.8
409,408,Perambalur,25,GEN,Tamil Nadu,"Dr.Paarivendhar, T. R",Dravida Munetra Kazhagam,1376502.0,1102767.0,80.9,403518.0,36.6
410,409,Phulpur,51,GEN,Uttar Pradesh,Keshari Devi Patel,Bharatiya Janta Party,1950247.0,978236.0,50.6,171968.0,17.6
411,410,Pilibhit,26,GEN,Uttar Pradesh,Feroze Varun Gandhi,Bharatiya Janta Party,1730628.0,1186589.0,69.1,255627.0,21.5
412,411,Pollachi,21,GEN,Tamil Nadu,Shanmuga Sundaram. K,Dravida Munetra Kazhagam,1716498.0,1081875.0,63.9,175883.0,16.3
413,412,Ponnani,7,GEN,Kerala,E. T. Mohammed Basheer,Indian Union Muslim League,1265341.0,1017265.0,80.9,193273.0,19.0
414,413,Porbandar,11,GEN,Gujarat,Rameshbhai Lavjibhai Dhaduk,Bharatiya Janta Party,1626015.0,949947.0,58.9,229823.0,24.2
415,414,Pratapgarh,39,GEN,Uttar Pradesh,Sangam Lal Gupta,Bharatiya Janta Party,1670655.0,914665.0,55.5,117752.0,12.9
416,415,Puducherry,1,GEN,Puducherry,Ve. Vaithilingam,Indian National Congress,969845.0,790760.0,82.8,197025.0,24.9
417,416,Pune,34,GEN,Maharashtra,Girish Bhalchandra Bapat,Bharatiya Janta Party,1997594.0,1035236.0,52.4,324628.0,31.4
418,417,Puri,17,GEN,Orissa,Pinaki Misra,Biju Janata Dal,1500546.0,1135620.0,76.2,11714.0,1.0
419,418,Purnia,12,GEN,Bihar,Santosh Kumar,Janata Dal (United),2055471.0,1153940.0,57.0,263461.0,22.8
420,419,Purulia,35,GEN,West Bengal,Jyotirmay Singh Mahato,Bharatiya Janta Party,1761215.0,1355236.0,77.6,204732.0,15.1
421,420,Purvi Champaran,3,GEN,Bihar,Radha Mohan Singh,Bharatiya Janta Party,1631187.0,999400.0,62.7,293648.0,29.4
422,421,Rae Bareli,36,GEN,Uttar Pradesh,Sonia Gandhi,Indian National Congress,1628549.0,958556.0,59.5,167178.0,17.4
423,422,Raichur,6,ST,Karnataka,Raja Amareshwara Naik,Bharatiya Janta Party,1896652.0,1124385.0,60.1,117716.0,10.5
424,423,Raigad,32,GEN,Maharashtra,Tatkare Sunil Dattatray,Nationalist Congress Party,1598012.0,1025467.0,64.9,31438.0,3.1
425,424,Raiganj,5,GEN,West Bengal,Debasree Chaudhuri,Bharatiya Janta Party,1531944.0,1277109.0,84.3,60574.0,4.7
426,425,Raigarh,2,ST,Chhattisgarh,Gomati Sai,Bharatiya Janta Party,1714355.0,1350124.0,79.7,66027.0,4.9
427,426,Raipur,8,GEN,Chhattisgarh,Sunil Kumar Soni,Bharatiya Janta Party,2046014.0,1396250.0,68.5,348238.0,24.9
428,427,Rajahmundry,8,,Andhra Pradesh,Margani Bharat,Yuvajana Sramika Rythu Congress Party,1382260.0,1250427.0,91.8,121634.0,9.7
429,428,Rajampet,24,,Andhra Pradesh,P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1406762.0,1224354.0,88.6,268284.0,21.9
430,429,Rajgarh,20,GEN,Madhya Pradesh,Rodmal Nagar,Bharatiya Janta Party,1649452.0,1260329.0,77.0,431019.0,34.2
431,430,Rajkot,10,GEN,Gujarat,Kundaria Mohanbhai Kalyanjibhai,Bharatiya Janta Party,1839420.0,1195271.0,66.0,368407.0,30.8
432,431,Rajmahal,1,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,1422969.0,1047657.0,74.5,99195.0,9.5
433,432,Rajnandgaon,6,GEN,Chhattisgarh,Santosh Pandey,Bharatiya Janta Party,1688647.0,1307033.0,78.6,111966.0,8.6
434,433,Rajsamand,22,GEN,Rajasthan,Diya Kumari,Bharatiya Janta Party,1863749.0,1239845.0,67.2,551916.0,44.5
435,434,Ramanathapuram,35,GEN,Tamil Nadu,K. Navaskani,Indian Union Muslim League,1553058.0,1066146.0,69.1,127122.0,11.9
436,435,Rampur,7,GEN,Uttar Pradesh,Mohammad Azam Khan,Samajwadi Party,1658551.0,1060921.0,64.4,109997.0,10.4
437,436,Ramtek,9,SC,Maharashtra,Krupal Balaji Tumane,Shiv Sena,1818912.0,1196744.0,66.5,126783.0,10.6
438,437,Ranaghat,13,SC,West Bengal,Jagannath Sarkar,Bharatiya Janta Party,1974979.0,1484035.0,75.6,233428.0,15.7
439,438,Ranchi,8,GEN,Jharkhand,Sanjay Seth,Bharatiya Janta Party,1827355.0,1235441.0,67.9,283026.0,22.9
440,439,Ratlam,24,ST,Madhya Pradesh,Guman Singh Damor,Bharatiya Janta Party,1802722.0,1400509.0,79.7,90636.0,6.5
441,440,Ratnagiri - Si,46,GEN,Maharashtra,Vinayak Raut,Shiv Sena,1393965.0,901102.0,65.6,178322.0,19.8
442,441,Raver,4,GEN,Maharashtra,Khadse Raksha Nikhil,Bharatiya Janta Party,1707838.0,1092971.0,64.5,335882.0,30.7
443,442,Rewa,10,GEN,Madhya Pradesh,Janardan Mishra,Bharatiya Janta Party,1628121.0,1013251.0,62.4,312807.0,30.9
444,443,Robertsganj,80,SC,Uttar Pradesh,Pakauri Lal Kol,Apna Dal (Soneylal),1672073.0,988287.0,60.4,54336.0,5.5
445,444,Rohtak,7,GEN,Haryana,Arvind Kumar Sharma,Bharatiya Janta Party,1638605.0,1220571.0,74.7,7503.0,0.6
446,445,Sabarkantha,5,GEN,Gujarat,Rathod Dipsinh Shankarsinh,Bharatiya Janta Party,1695262.0,1218354.0,72.2,268987.0,22.1
447,446,Sagar,5,GEN,Madhya Pradesh,Rajbahadur Singh,Bharatiya Janta Party,1550731.0,1037175.0,67.5,305542.0,29.5
448,447,Saharanpur,1,GEN,Uttar Pradesh,Haji Fazlur Rehman,Bahujan Samaj Party,1677662.0,1231746.0,73.7,22417.0,1.8
449,448,Salem,15,GEN,Tamil Nadu,Parthiban.S.R,Dravida Munetra Kazhagam,1580013.0,1255459.0,80.5,146926.0,11.7
450,449,Salempur,71,GEN,Uttar Pradesh,Ravinder,Bharatiya Janta Party,1652927.0,921066.0,56.2,112477.0,12.2
451,450,Samastipur,23,SC,Bihar,Ramchandra Paswan,Lok Jan Shakti Party,1655671.0,1019025.0,63.7,251643.0,24.7
452,451,Sambalpur,3,GEN,Orissa,Nitesh Ganga Deb,Bharatiya Janta Party,1399694.0,1124455.0,81.3,9162.0,0.8
453,452,Sambhal,8,GEN,Uttar Pradesh,Dr. Shafiqur Rehman Barq,Samajwadi Party,1782261.0,1183469.0,66.8,174826.0,14.8
454,453,Sangli,44,GEN,Maharashtra,Sanjaykaka Patil,Bharatiya Janta Party,1424936.0,1189958.0,84.0,164352.0,13.8
455,454,Sangrur,12,GEN,Punjab,Bhagwant Mann,Aam Aadmi Party,1501950.0,1105888.0,74.1,110211.0,10.0
456,455,Sant Kabir Nag,62,GEN,Uttar Pradesh,Praveen Kumar Nishad,Bharatiya Janta Party,1935219.0,1063390.0,55.6,35749.0,3.4
457,456,Saran,20,GEN,Bihar,Rajiv Pratap Rudy,Bharatiya Janta Party,1655736.0,941656.0,58.6,138429.0,14.7
458,457,Sarguja,1,ST,Chhattisgarh,Renuka Singh Saruta,Bharatiya Janta Party,1617451.0,1280689.0,81.0,157873.0,12.3
459,458,Sasaram,34,SC,Bihar,Chhedi Paswan,Bharatiya Janta Party,1771935.0,974749.0,56.1,165745.0,17.0
460,459,Satara,45,GEN,Maharashtra,Shrimant Chh. Udayanraje Pratapsinhmaharaj Bhonsle,Nationalist Congress Party,1753567.0,1115434.0,64.1,126528.0,11.3
461,460,Satna,9,GEN,Madhya Pradesh,Ganesh Singh,Bharatiya Janta Party,1533662.0,1113656.0,72.8,231473.0,20.8
462,461,Secundrabad,8,GEN,Telangana,G . Kishan Reddy,Bharatiya Janta Party,1890049.0,915106.0,48.9,62114.0,6.8
463,462,Shahdol,12,ST,Madhya Pradesh,Himadri Singh,Bharatiya Janta Party,1626916.0,1237858.0,77.3,403333.0,32.6
464,463,Shahjahanpur,27,SC,Uttar Pradesh,Arun Kumar Sagar,Bharatiya Janta Party,2013411.0,1186157.0,59.4,268418.0,22.6
465,464,Sheohar,4,GEN,Bihar,Rama Devi,Bharatiya Janta Party,1660635.0,1004559.0,60.9,340360.0,33.9
466,465,Shillong,1,ST,Meghalaya,Vincent H. Pala,Indian National Congress,1154272.0,784190.0,68.3,152433.0,19.4
467,466,Shimla,4,SC,Himachal Pradesh,Suresh Kumar Kashyap,Bharatiya Janta Party,1153363.0,913608.0,79.9,327515.0,35.8
468,467,Shimoga,14,GEN,Karnataka,B.Y.Raghavendra.,Bharatiya Janta Party,1640421.0,1283577.0,78.7,223360.0,17.4
469,468,Shirdi,38,SC,Maharashtra,Sadashiv Kisan Lokhande,Shiv Sena,1524878.0,1029362.0,67.9,120195.0,11.7
470,469,Shirur,36,GEN,Maharashtra,Dr. Amol Ramsing Kolhe,Nationalist Congress Party,2045438.0,1293117.0,63.5,58483.0,4.5
471,470,Shrawasti,58,GEN,Uttar Pradesh,Ram Shiromani,Bahujan Samaj Party,1868891.0,997007.0,54.3,5320.0,0.5
472,471,Sidhi,11,GEN,Madhya Pradesh,Riti Pathak,Bharatiya Janta Party,1822205.0,1282705.0,70.7,286524.0,22.3
473,472,Sikar,5,GEN,Rajasthan,Sumedhanand Saraswati,Bharatiya Janta Party,1977129.0,1326969.0,67.5,297156.0,22.4
474,473,Sikkim,1,GEN,Sikkim,Indra Hang Subba,Sikkim Krantikari Morcha,410317.0,351746.0,86.3,12433.0,3.5
475,474,Silchar,2,GEN,Assam,Rajdeep Roy,Bharatiya Janta Party,1002420.0,949696.0,95.6,81596.0,8.6
476,475,Singhbhum,10,ST,Jharkhand,Geeta Kora,Indian National Congress,1230774.0,879329.0,73.4,72155.0,8.2
477,476,Sirsa,3,SC,Haryana,Sunita Duggal,Bharatiya Janta Party,1740188.0,1369486.0,79.0,309918.0,22.6
478,477,Sitamarhi,5,GEN,Bihar,Sunil Kumar Pintu,Janata Dal (United),1738001.0,1038849.0,60.4,250539.0,24.1
479,478,Sitapur,30,GEN,Uttar Pradesh,Rajesh Verma,Bharatiya Janta Party,1653132.0,1064521.0,64.9,100833.0,9.5
480,479,Sivaganga,31,GEN,Tamil Nadu,Karti P Chidambaram,Indian National Congress,1529700.0,1084468.0,71.5,332244.0,30.6
481,480,Siwan,18,GEN,Bihar,Kavita Singh,Janata Dal (United),1780670.0,984810.0,55.8,116958.0,11.9
482,481,Solapur,42,SC,Maharashtra,Shri. Sha. Bra. Dr. Jai Sidheshwar Shivachary Mahaswamiji,Bharatiya Janta Party,1747242.0,1084514.0,62.4,158608.0,14.6
483,482,Sonipat,6,GEN,Haryana,Ramesh Chander Kaushik,Bharatiya Janta Party,1493894.0,1129532.0,75.8,164864.0,14.6
484,483,South Delhi,7,GEN,Delhi,Badri Narain Sinha,Bharatiya Janta Party,1752741.0,1214222.0,69.6,367043.0,30.2
485,484,South Goa,2,GEN,Goa,Cosme Francisco Caitano Sardinha,Indian National Congress,572200.0,424575.0,75.2,9755.0,2.3
486,485,Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,1983013.0,1401705.0,71.7,98536.0,7.0
487,486,Srikakulam,2,,Andhra Pradesh,Kinjarapu Ram Mohan Naidu,Telugu Desam,1410763.0,1157329.0,83.9,6653.0,0.6
488,487,Srinagar,2,,Jammu & Kashmir,Farooq Abdullah,Jammu & Kashmir National Conference,1205233.0,186832.0,15.6,70050.0,37.5
489,488,Sriperumbudur,5,GEN,Tamil Nadu,Baalu.T.R.,Dravida Munetra Kazhagam,2176499.0,1406782.0,65.7,507955.0,36.1
490,489,Sultanpur,38,GEN,Uttar Pradesh,Maneka Sanjai Gandhi,Bharatiya Janta Party,1739538.0,1000316.0,58.1,14526.0,1.5
491,490,Sundargarh,2,ST,Orissa,Jual Oram,Bharatiya Janta Party,1508886.0,1100129.0,73.8,223065.0,20.3
492,491,Supaul,8,GEN,Bihar,Dileshwar Kamait,Janata Dal (United),1680576.0,1110805.0,66.7,266853.0,24.0
493,492,Surat,24,GEN,Gujarat,Darshana Vikram Jardosh,Bharatiya Janta Party,1606425.0,1068412.0,67.2,548230.0,51.3
494,493,Surendranagar,9,GEN,Gujarat,Dr. Munjapara Mahendrabhai,Bharatiya Janta Party,1812702.0,1077726.0,59.9,277437.0,25.7
495,494,Tamluk,30,GEN,West Bengal,Adhikari Dibyendu,All India Trinamool Congress,1839886.0,1446499.0,79.2,190165.0,13.1
496,495,Tehri Garhwal,1,GEN,Uttarakhand,Mala Rajya Laxmi Shah,Bharatiya Janta Party,1439343.0,876069.0,61.3,300586.0,34.3
497,496,Tenkasi,37,SC,Tamil Nadu,Dhanush.M.Kumar,Dravida Munetra Kazhagam,1472742.0,1065569.0,73.3,120286.0,11.3
498,497,Tezpur,9,GEN,Assam,Pallab Lochan Das,Bharatiya Janta Party,1437189.0,1190196.0,83.9,242841.0,20.4
499,498,Thane,25,GEN,Maharashtra,Rajan Baburao Vichare,Shiv Sena,2178348.0,1170518.0,54.7,412145.0,35.2
500,499,Thanjavur,30,GEN,Tamil Nadu,"Palanimanickam,s.S.",Dravida Munetra Kazhagam,1443417.0,1059223.0,74.4,368129.0,34.8
501,500,Theni,33,GEN,Tamil Nadu,"Raveendranath Kumar, P",All India Anna Dravida Munnetra Kazhagam,1800597.0,1173489.0,65.8,76693.0,6.5
502,501,Thiruvallur,1,SC,Tamil Nadu,Dr.K.Jayakumar,Indian National Congress,1882738.0,1408189.0,75.8,356955.0,25.3
503,502,Thiruvananthap,20,GEN,Kerala,Dr. Shashi Tharoor,Indian National Congress,1330409.0,1010180.0,76.3,99989.0,9.9
504,503,Thoothukkudi,36,GEN,Tamil Nadu,Kanimozhi Karunanidhi,Dravida Munetra Kazhagam,1402826.0,991263.0,71.3,347209.0,35.0
505,504,Thrissur,10,GEN,Kerala,T. N. Prathapan,Indian National Congress,1268671.0,1041869.0,82.5,93633.0,9.0
506,505,Tikamgarh,6,SC,Madhya Pradesh,Dr Virendra Kumar,Bharatiya Janta Party,1717393.0,1096712.0,64.5,348059.0,31.7
507,506,Tiruchirappall,24,GEN,Tamil Nadu,Thirunavukkarasar. Su,Indian National Congress,1489425.0,1048062.0,71.3,459286.0,43.8
508,507,Tirunelveli,38,GEN,Tamil Nadu,Gnanathiraviam S,Dravida Munetra Kazhagam,1526692.0,1039761.0,68.8,185457.0,17.8
509,508,Tirupati,23,,Andhra Pradesh,Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,1509361.0,1313515.0,88.7,228376.0,17.4
510,509,Tiruppur,18,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,1490562.0,1119584.0,76.6,93368.0,8.3
511,510,Tiruvannamalai,11,GEN,Tamil Nadu,Annadurai C N,Dravida Munetra Kazhagam,1431287.0,1151729.0,81.3,304187.0,26.4
512,511,Tonk-Sawai Mad,12,GEN,Rajasthan,Sukhbir Singh Jaunapuria,Bharatiya Janta Party,1893418.0,1233458.0,65.6,111291.0,9.0
513,512,Tripura East,2,ST,Tripura,Rebati Tripura,Bharatiya Janta Party,1173233.0,1045417.0,90.1,204290.0,19.5
514,513,Tripura West,1,GEN,Tripura,Pratima Bhoumik,Bharatiya Janta Party,1285794.0,1107755.0,87.1,305689.0,27.6
515,514,Tumkur,19,GEN,Karnataka,G. S. Basavaraj,Bharatiya Janta Party,1584884.0,1244858.0,79.2,13339.0,1.1
516,515,Tura,2,ST,Meghalaya,Agatha K. Sangma,National People's Party,692353.0,583041.0,85.1,64030.0,11.0
517,516,Udaipur,19,ST,Rajasthan,Arjunlal Meena,Bharatiya Janta Party,2008400.0,1454518.0,73.8,437914.0,30.1
518,517,Udhampur,5,,Jammu & Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,1490244.0,1180123.0,79.7,357252.0,30.3
519,518,Udupi Chikmaga,15,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,1495439.0,1151012.0,77.5,349599.0,30.4
520,519,Ujiarpur,22,GEN,Bihar,Nityanand Rai,Bharatiya Janta Party,1588209.0,969284.0,61.9,277278.0,28.6
521,520,Ujjain,22,SC,Madhya Pradesh,Anil Firojiya,Bharatiya Janta Party,1624122.0,1252511.0,77.8,365637.0,29.2
522,521,Uluberia,26,GEN,West Bengal,Sajda Ahmed,All India Trinamool Congress,1775607.0,1311099.0,74.4,215359.0,16.4
523,522,Unnao,33,GEN,Uttar Pradesh,Swami Sakshi Ji Maharaj,Bharatiya Janta Party,2160607.0,1237076.0,57.8,400956.0,32.4
524,523,Uttara Kannada,12,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1535047.0,1153480.0,76.2,479649.0,41.6
525,524,Vadakara,3,GEN,Kerala,K. Muraleedharan,Indian National Congress,1207556.0,1065619.0,88.5,84663.0,7.9
526,525,Vadodara,20,GEN,Gujarat,Ranjanben Bhatt,Bharatiya Janta Party,1707484.0,1222348.0,72.6,589177.0,48.2
527,526,Vaishali,16,GEN,Bihar,Veena Devi (W/o Dinesh Prasad Singh),Lok Jan Shakti Party,1721658.0,1074730.0,63.0,234584.0,21.8
528,527,Valmiki Nagar,1,GEN,Bihar,Baidyanath Prasad Mahto,Janata Dal (United),1641701.0,1032090.0,65.0,354616.0,34.4
529,528,Valsad,26,ST,Gujarat,Dr.K.C.Patel,Bharatiya Janta Party,1628352.0,1260377.0,78.6,353797.0,28.1
530,529,Varanasi,77,GEN,Uttar Pradesh,Narendra Modi,Bharatiya Janta Party,1784093.0,1060476.0,59.7,479505.0,45.2
531,530,Vidisha,18,GEN,Madhya Pradesh,Ramakant Bhargava,Bharatiya Janta Party,1700678.0,1250244.0,74.0,503084.0,40.2
532,531,Vijayawada,12,,Andhra Pradesh,Kesineni Srinivas (NANI),Telugu Desam,1362762.0,1277711.0,94.4,8726.0,0.7
533,532,Viluppuram,13,SC,Tamil Nadu,Ravikumar D,Dravida Munetra Kazhagam,1400389.0,1135540.0,81.9,128068.0,11.3
534,533,Virudhunagar,34,GEN,Tamil Nadu,"Manickam Tagore, B.",Indian National Congress,1461240.0,1074735.0,74.7,154554.0,14.4
535,534,Visakhapatnam,4,,Andhra Pradesh,M V V Satyanarayana,Yuvajana Sramika Rythu Congress Party,1534088.0,1239754.0,81.9,4414.0,0.4
536,535,Vizianagaram,3,,Andhra Pradesh,Bellana Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,1380455.0,1217890.0,90.4,48036.0,3.9
537,536,Warangal,15,SC,Telangana,Dayakar Pasunoori,Telangana Rashtra Samithi,1578335.0,1061645.0,68.5,350298.0,33.0
538,537,Wardha,8,GEN,Maharashtra,Ramdas Chandrabhanji Tadas,Bharatiya Janta Party,1679788.0,1072570.0,64.2,187191.0,17.5
539,538,Wayanad,4,GEN,Kerala,Rahul Gandhi,Indian National Congress,1306141.0,1092197.0,83.8,431770.0,39.5
540,539,West Delhi,6,GEN,Delhi,Sant Prasad Sinha,Bharatiya Janta Party,2039410.0,1441601.0,71.1,578486.0,40.1
541,540,Yavatmal-Washi,14,GEN,Maharashtra,Bhavana Pundlikrao Gawali,Shiv Sena,1812059.0,1174220.0,65.0,117939.0,10.0
542,541,Zahirabad,5,GEN,Telangana,B.B.Patil,Telangana Rashtra Samithi,1411026.0,1044365.0,74.8,6229.0,0.6
